dataset,activation,N,L,batch_size,n_seeds,seeds,lambda_constraints_AtA_median,lambda_max_total_gn_median,eta_best_1_over_lambda_median,eta_max_2_over_lambda_median,alpha_cap_eta_best_median
mnist,relu,32,64,64,3,"0,1,2",4.111376758987814,4.112288784844912,0.24317358345194945,0.4863471669038989,1.9980766704220647
mnist,relu,32,128,64,3,"0,1,2",4.034315714354624,4.033130639160235,0.24794634477999866,0.4958926895599973,1.9995015995431888
mnist,relu,64,8,64,3,"0,1,2",4.744566501837649,4.770589308460764,0.20961770870246033,0.41923541740492065,2.0058428824488903
mnist,relu,64,16,64,3,"0,1,2",4.452568287276457,4.448516115705584,0.224794060309117,0.449588120618234,1.9961527318639902
mnist,relu,64,32,64,3,"0,1,2",4.243282942312265,4.243626118147385,0.23564752694013583,0.47129505388027165,2.0003235003084034
mnist,relu,64,64,64,3,"0,1,2",4.108117061297357,4.1061561999451,0.2435367656041361,0.4870735312082722,1.9994636076809855
mnist,relu,64,128,64,3,"0,1,2",4.033771909043051,4.0339079591912705,0.24789856638188712,0.49579713276377424,2.0000563807518805
mnist,relu,128,8,64,3,"0,1,2",4.738985290594441,4.741872695454657,0.21088714611814743,0.42177429223629487,2.00243715030384
mnist,relu,128,16,64,3,"0,1,2",4.438626199894477,4.4374756227929675,0.22535335064457107,0.45070670128914214,2.0006429086623587
mnist,relu,128,32,64,3,"0,1,2",4.223504286098356,4.223723001810895,0.23675795017127216,0.4735159003425443,1.9995274774407217
mnist,relu,128,64,64,3,"0,1,2",4.10312819907209,4.103858796876927,0.24367310121903046,0.4873462024380609,2.0007005821627883
mnist,relu,128,128,64,3,"0,1,2",4.032790713860017,4.03211022585944,0.24800909300212673,0.49601818600425346,1.9997818494809882
mnist,tanh,8,8,64,3,"0,1,2",4.847643634048718,4.854271691498313,0.20600412658223946,0.4120082531644789,2.0081618576371856
mnist,tanh,8,16,64,3,"0,1,2",4.503437018881969,4.570157040127575,0.218810861688045,0.43762172337609,2.0010016922581935
mnist,tanh,8,32,64,3,"0,1,2",4.268032936837771,4.250075546219246,0.23528993523175687,0.47057987046351374,1.9927554162057
mnist,tanh,8,64,64,3,"0,1,2",4.140918210726256,4.140928239126419,0.24149174828756817,0.48298349657513634,2.0000096871270117
mnist,tanh,8,128,64,3,"0,1,2",4.039454714390245,4.038118717387607,0.2476400695438031,0.4952801390876062,1.9995188994442614
mnist,tanh,16,8,64,3,"0,1,2",4.708010541826072,4.723803074979511,0.2116938373863812,0.4233876747727624,2.0100302180826457
mnist,tanh,16,16,64,3,"0,1,2",4.427989758787181,4.42443007847456,0.22601781071535806,0.45203562143071613,2.0026984787863578
mnist,tanh,16,32,64,3,"0,1,2",4.2355621079472,4.225258979456299,0.23667188327676866,0.4733437665535373,1.9996227582891497
mnist,tanh,16,64,64,3,"0,1,2",4.092366079340253,4.09081711866189,0.2444499401936357,0.4888998803872714,1.998485999885315
mnist,tanh,16,128,64,3,"0,1,2",4.023045894970354,4.023280901559561,0.2485533634035759,0.4971067268071518,2.00015831263402
mnist,tanh,32,8,64,3,"0,1,2",4.745537097292934,4.723405693648465,0.21171164724315208,0.42342329448630417,1.9851011819289783
mnist,tanh,32,16,64,3,"0,1,2",4.387447927527848,4.384609694510337,0.22807047141551276,0.4561409428310255,1.997412406424516
mnist,tanh,32,32,64,3,"0,1,2",4.2135013823273155,4.212272443591677,0.23740154830710106,0.4748030966142021,1.9998925567208188
mnist,tanh,32,64,64,3,"0,1,2",4.088065720588381,4.087510896182469,0.24464766587752712,0.48929533175505424,2.001439102379651
mnist,tanh,32,128,64,3,"0,1,2",4.025608986429262,4.02619589441792,0.24837340909975103,0.49674681819950206,2.0004914229886284
mnist,tanh,64,8,64,3,"0,1,2",4.68003767952591,4.687604438579576,0.21332858032343213,0.42665716064686426,2.005603525380293
mnist,tanh,64,16,64,3,"0,1,2",4.386369765635258,4.3809835017955985,0.22825924808667689,0.45651849617335377,1.9992830563107464
mnist,tanh,64,32,64,3,"0,1,2",4.200579840787883,4.201538568702415,0.23800804958666263,0.47601609917332527,2.00091294816513
mnist,tanh,64,64,64,3,"0,1,2",4.085253135457013,4.084372091426771,0.24483567550053342,0.48967135100106685,1.9990592008074484
mnist,tanh,64,128,64,3,"0,1,2",4.0246039113146805,4.024029314845905,0.24850713594721752,0.49701427189443503,1.9998148422566286
mnist,tanh,128,8,64,3,"0,1,2",4.652604045077454,4.660985986897856,0.21454687973982847,0.42909375947965694,1.996751908854935
mnist,tanh,128,16,64,3,"0,1,2",4.38671381933618,4.387602610867791,0.22791489765346307,0.45582979530692613,2.0027196138793455
mnist,tanh,128,32,64,3,"0,1,2",4.190540069756964,4.192626972514831,0.2385139452080035,0.477027890416007,2.001122288393236
mnist,tanh,128,64,64,3,"0,1,2",4.0849253812856645,4.085081240790857,0.24479317327025876,0.4895863465405175,2.000152619194375
mnist,tanh,128,128,64,3,"0,1,2",4.0231291159560145,4.02248020361946,0.248602839387548,0.497205678775096,1.9995401377570832
